repo,category,technique,capabilities,savings,quality,latency,local,footprint,integration,safety,maturity,notes
microsoft/LLMLingua,prompt-compression,token-level small-model compression,prompt_tokens|query_aware|token_pruning|local|cpu|cheap_model|python_api|batch|long_context|quality_eval|latency_eval,14,5,1,4,4,11,2,7,"Paper leader; local unconditional LLMLingua-2 CPU run averaged 41.4% saving, 18.7% deterministic quality and 37.0s latency"
liyucheng09/Selective_Context,prompt-compression,self-information token pruning,prompt_tokens|token_pruning|local|cpu|cheap_model|python_api|long_context|quality_eval,14,13,7,8,6,7,4,4,"Research implementation; useful baseline but limited maintenance"
carriex/recomp,rag-compression,extractive and abstractive retrieval compression,prompt_tokens|query_aware|extractive|abstractive|sentence_pruning|local|gpu_optional|cheap_model|python_api|quality_eval,15,16,5,6,4,7,5,5,"RECOMP selectively augments and can emit an empty context"
JungHoyoun/PromptCompressor,prompt-compression,prompt compression prototype,prompt_tokens|local|cpu|python_api,8,8,6,7,7,5,3,2,"Small prototype with sparse evidence"
3DAgentWorld/Toolkit-for-Prompt-Compression,prompt-compression,multi-method research toolkit,prompt_tokens|query_aware|token_pruning|sentence_pruning|local|gpu_optional|python_api|batch|quality_eval|latency_eval,16,14,5,7,4,8,4,5,"Evaluation-oriented toolkit rather than production proxy"
ZongqianLi/500xCompressor,prompt-compression,learned extreme compression,prompt_tokens|abstractive|local|gpu_optional|cheap_model|python_api|long_context|quality_eval,20,11,3,4,2,5,3,4,"Extreme upstream ratio; deployment and fidelity risk are high"
wilpel/caveman-compression,semantic-compression,grammar removal,prompt_tokens|extractive|local|cpu|model_free|cli|fallback,12,10,10,10,8,8,5,4,"Fast model-free semantic shorthand; brittle outside prose"
open-compress/claw-compactor,deterministic-compression,multi-stage structural compaction,prompt_tokens|extractive|local|cpu|model_free|cli|code_safe|structured_safe|reversible|fallback|latency_eval,17,13,8,10,8,10,5,5,"Measured 66.9% average saving and 0.53s average text latency; requires hard role bypass and structured-data quality guard; report: https://github.com/Martin-Hausleitner/headroom-context-idr/blob/main/headroom-context-report.md"
rtk-ai/rtk,tool-output-compression,command-output filtering,prompt_tokens|extractive|local|cpu|model_free|cli|code_safe|structured_safe|reversible|fallback|latency_eval,8,18,10,10,8,3,8,7,"Excellent before the gateway, but not a general user-prompt compressor"
diegosouzapw/OmniRoute,gateway-compression,provider gateway with stacked compression,prompt_tokens|local|cpu|model_free|cli|openai_compatible|proxy|fallback|streaming,14,11,8,9,7,11,5,5,"Broad gateway; compression claims need independent validation"
JuliusBrussee/caveman,semantic-compression,agent skill shorthand,prompt_tokens|extractive|local|cpu|model_free|cli|fallback,13,9,10,10,8,6,4,6,"High adoption but language degradation can hurt precise prompts"
langchain-ai/langchain,rag-compression,contextual compression retriever,prompt_tokens|query_aware|extractive|abstractive|reranking|local|cheap_model|python_api|batch|fallback|proxy,14,15,6,7,5,10,6,7,"Mature integration framework; compressor quality depends on components"
run-llama/llama_index,rag-compression,node postprocessors and LongLLMLingua,prompt_tokens|query_aware|extractive|abstractive|reranking|local|cheap_model|python_api|batch|fallback|proxy|long_context,15,15,6,7,5,10,6,7,"Good RAG integration and direct LongLLMLingua adapter"
RUC-NLPIR/FlashRAG,rag-compression,research RAG toolkit,prompt_tokens|query_aware|extractive|reranking|local|gpu_optional|python_api|batch|quality_eval|long_context,13,15,5,6,4,7,5,6,"Broad reproducible RAG research surface"
deepset-ai/haystack,rag-compression,document filtering and ranking,prompt_tokens|query_aware|extractive|reranking|local|cheap_model|python_api|batch|fallback|proxy,12,15,7,8,6,10,6,7,"Production-friendly pipeline framework"
FlagOpen/FlagEmbedding,rag-compression,embedding and reranking,prompt_tokens|query_aware|extractive|reranking|local|gpu_optional|python_api|batch|quality_eval,12,17,6,7,4,7,6,7,"Strong retrieval quality, not a full prompt compressor"
answerdotai/rerankers,rag-compression,unified reranker API,prompt_tokens|query_aware|extractive|reranking|local|cheap_model|python_api|batch,10,15,7,8,6,8,6,6,"Simple integration for extractive context selection"
huggingface/sentence-transformers,rag-compression,embedding similarity selection,prompt_tokens|query_aware|extractive|reranking|local|cpu|cheap_model|python_api|batch|quality_eval,10,14,7,8,6,7,6,7,"Generic building block requiring policy and chunking"
jina-ai/late-chunking,rag-compression,context-aware chunk embeddings,prompt_tokens|query_aware|extractive|reranking|local|gpu_optional|python_api|long_context|quality_eval,9,16,5,6,4,6,6,5,"Improves retrieval context but does not directly rewrite prompts"
princeton-nlp/AutoCompressors,prompt-compression,learned summary tokens,prompt_tokens|abstractive|local|gpu_optional|python_api|long_context|quality_eval,17,14,3,4,2,5,4,5,"Research method requiring model-side support"
